;cidade;codigo_municipio;codigo_orgao;nome_orgao;ano;1;2;3;4;5;6;7;8;9;10;11;12
124;Jataí;139;5;FUNDACAO EDUCACIONAL DE JATAI;2023;1;1;1;1;1;0;0;0;0;0;0;0
125;Jataí;139;4;FUNDEF/FUNDEB;2023;1;1;1;1;0;0;0;0;0;0;0;0
126;Jataí;139;8;FUNDO DE PREVIDENCIA;2023;1;1;1;1;0;0;0;0;0;0;0;0
127;Jataí;139;10;FUNDO MUN. DIREITOS CRIANCA E ADOLECENTE - JATAI;2023;1;1;1;1;0;0;0;0;0;0;0;0
128;Jataí;139;7;FUNDO MUN. DO MEIO AMBIENTE;2023;1;1;1;1;0;0;0;0;0;0;0;0
129;Jataí;139;11;FUNDO MUNICIPAL DA CIENCIA E TECNOLOGIA;2023;1;1;1;1;0;0;0;0;0;0;0;0
130;Jataí;139;13;FUNDO MUNICIPAL DE DEFESA DO CONSUMIDOR - JATAI;2023;1;1;1;1;0;0;0;0;0;0;0;0
131;Jataí;139;12;FUNDO MUNICIPAL DE TURISMO - JATAI;2023;1;1;1;1;1;1;1;1;1;1;1;1
132;Jataí;139;16;JATAI - COMTAT;2023;1;1;1;1;1;1;1;1;1;1;1;1
133;Jataí;139;9;JATAI - FEMBOM;2023;1;1;1;1;0;0;0;0;0;0;0;0
134;Jataí;139;15;JATAI - FUNDO MUNICIPAL DE TRANSITO;2023;1;1;1;1;0;0;0;0;0;0;0;0
135;Jataí;139;3;PODER EXECUTIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
136;Jataí;139;1;PODER LEGISLATIVO;2023;1;1;1;1;1;0;0;0;0;0;0;0
137;Fazenda Nova;81;14;FMAS;2023;1;1;1;1;0;0;0;0;0;0;0;0
138;Fazenda Nova;81;16;FMDCA;2023;1;1;1;1;0;0;0;0;0;0;0;0
139;Fazenda Nova;81;19;FME - FUNDO MUNICIPAL DE EDUCACAO;2023;1;1;1;1;0;0;0;0;0;0;0;0
140;Fazenda Nova;81;20;FMES - FUNDO MUNICIPAL DE ESPORTES;2023;1;1;1;1;0;0;0;0;0;0;0;0
141;Fazenda Nova;81;13;FMS;2023;1;1;1;1;0;0;0;0;0;0;0;0
142;Fazenda Nova;81;12;FUNDEF/FUNDEB;2023;1;1;1;1;0;0;0;0;0;0;0;0
143;Fazenda Nova;81;17;FUNDO MUNICIPAL DO MEIO AMBIENTE - FMMA;2023;1;1;1;1;0;0;0;0;0;0;0;0
144;Fazenda Nova;81;10;PODER EXECUTIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
145;Fazenda Nova;81;11;PODER LEGISLATIVO;2023;1;1;1;1;0;0;0;0;0;0;0;0
146;Fazenda Nova;81;15;PPFAZ;2023;1;1;1;1;0;0;0;0;0;0;0;0
